base,folder,camera,file,subfolder,filename,class,count,date_time,date_time_original,focal_length,exif_image_width,exif_image_length,waypoint,site,habitat,canopy_cov,elev_m,sui_top,sui_bottom,lon,lat,face_num,face_dir,camera angle,incline parallel,incline perpendicular,distance to quadrat_cm,deploy date,removal date,notes,aji_note
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0552.JPG.JPG,White flower,1,2023:09:19 13:00:13,2023:09:19 13:00:13,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0555.JPG.JPG,White flower,1,2023:09:19 16:00:17,2023:09:19 16:00:17,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0556.JPG.JPG,White flower,3,2023:09:19 17:00:19,2023:09:19 17:00:19,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0557.JPG.JPG,cf. Lamiaceae,7,2023:09:19 18:00:21,2023:09:19 18:00:21,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0558.JPG.JPG,cf. Lamiaceae,8,2023:09:19 19:00:22,2023:09:19 19:00:22,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0559.JPG.JPG,Euphrasia rostkoviana aggr.,1,2023:09:19 20:00:24,2023:09:19 20:00:24,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0561.JPG.JPG,Euphrasia rostkoviana aggr.,1,2023:09:20 05:00:01,2023:09:20 05:00:01,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0562.JPG.JPG,Euphrasia rostkoviana aggr.,2,2023:09:20 06:00:02,2023:09:20 06:00:02,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0563.JPG.JPG,cf. Lamiaceae,11,2023:09:20 07:00:04,2023:09:20 07:00:04,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0563.JPG.JPG,White flower,2,2023:09:20 07:00:04,2023:09:20 07:00:04,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0564.JPG.JPG,cf. Lamiaceae,11,2023:09:20 08:00:05,2023:09:20 08:00:05,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0565.JPG.JPG,cf. Lamiaceae,9,2023:09:20 09:00:07,2023:09:20 09:00:07,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0565.JPG.JPG,Alchemilla vulgaris,1,2023:09:20 09:00:07,2023:09:20 09:00:07,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0566.JPG.JPG,cf. Lamiaceae,14,2023:09:20 10:00:08,2023:09:20 10:00:08,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0566.JPG.JPG,White flower,1,2023:09:20 10:00:08,2023:09:20 10:00:08,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0566.JPG.JPG,Yellow flower,1,2023:09:20 10:00:08,2023:09:20 10:00:08,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0567.JPG.JPG,Yellow flower,2,2023:09:20 11:00:10,2023:09:20 11:00:10,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
